category,doc_type,release_date,url,body_original_length,title,body_summary,category_FOMC,category_FDA,category_UCSB,title_positive_prob,title_negative_prob,title_neutral_prob,title_sentiment_score,body_positive_prob,body_negative_prob,body_neutral_prob,body_sentiment_score,body_n_chunks,body_summary_embedding
FDA,press-announcements,2026-09-03,https://www.fda.gov/news-events/press-announcements/fda-seeks-public-input-advance-development-botanical-drug-products,779,FDA Seeks Public Input to Advance Development of Botanical Drug Products,"The U.S. Food and Drug Administration (FDA) has announced a request for information (RFI) to gather public input on opportunities to advance the development of botanical drug products. Botanical drug products include products derived from plant materials, algae, macroscopic fungi, or combinations of these materials. The FDA is committed to modernizing regulatory frameworks to ensure the evaluation of promising, natural health options through rigorous science. The agency is seeking feedback on topics including challenges in botanical research and development, innovative approaches to support development, and potential updates to FDA guidance and resources. The public will have 60 days to submit comments to the docket, with the comment period closing on November 3, 2026.",0,1,0,0.2887389957904815,0.0077391639351844,0.7035218477249146,0.2809998318552971,0.0972896292805671,0.0116022350266575,0.8911081552505493,0.0856873942539095,1,"[0.09250423312187195, 0.29607832431793213, 0.08267676830291748, 0.010083097964525223, -0.11358612775802612, 0.2193516343832016, 0.004768602550029755, -0.10704552382230759, 0.07586678862571716, -0.023003950715065002, 0.11007265746593475, 0.08859400451183319, 0.009380050003528595, 0.03003983199596405, -0.026046328246593475, -0.10808578878641129, 0.07326909154653549, 0.16226035356521606, 0.027329951524734497, -0.12928850948810577, -0.05422196537256241, -0.03600041940808296, 0.06745582073926926, -0.17596083879470825, 0.01865169033408165, 0.06364678591489792, 0.11448770016431808, 0.02064024657011032, -0.023576587438583374, 0.0873638316988945]"
FDA,press-announcements,2026-08-28,https://www.fda.gov/news-events/press-announcements/fda-approves-first-drug-its-kind-polycythemia-vera-rare-blood-disorder,768,"FDA Approves First Drug of Its Kind for Polycythemia Vera, a Rare Blood Disorder","The U.S. Food and Drug Administration approved Mimrylo (rusfertide), a new treatment for adults with polycythemia vera, a rare blood disorder. Mimrylo mimics hepcidin, a hormone that regulates iron in the body, to reduce red blood cell overproduction and keep levels under control. This approach offers a new option for patients who have not achieved adequate control with existing therapies. The approval was granted based on the VERIFY trial, a phase 3 study of 293 adults with polycythemia vera, in which Mimrylo showed efficacy in reducing the need for phlebotomies. The safety and efficacy of Mimrylo were evaluated, with the most common adverse reactions being injection site reactions and anemia. The approval was granted to Takeda Pharmaceuticals America, Inc.",0,1,0,0.7423290014266968,0.0129139488562941,0.2447570115327835,0.7294150525704026,0.6319998502731323,0.0140247792005538,0.3539753258228302,0.6179750710725784,1,"[0.021337687969207764, 0.3017733097076416, -0.36058929562568665, 0.007530387490987778, -0.19567516446113586, -0.017075613141059875, 0.030571021139621735, 0.06112399324774742, 0.04974587261676788, 0.06376151740550995, -0.07824662327766418, -0.09695270657539368, -0.0598156601190567, -0.1712711751461029, -0.04738859087228775, -0.15306329727172852, -0.08580080419778824, 0.09417962282896042, -0.1085362359881401, 0.04649101570248604, 0.0904354602098465, 0.1768384575843811, -0.024605460464954376, -0.0688573345541954, 0.145612895488739, -0.005778640508651733, 0.08760613948106766, -0.0600515678524971, 0.06585557758808136, 0.06238945573568344]"
FDA,press-announcements,2026-08-27,https://www.fda.gov/news-events/press-announcements/fda-approves-first-oral-drug-indicated-treat-dermatomyositis-adults,1030,FDA Approves First Oral Drug Indicated to Treat Dermatomyositis in Adults,"The U.S. Food and Drug Administration has approved Lisraya (brepocitinib) tablets for the treatment of dermatomyositis in adults. This approval provides an important new alternative for managing symptoms. Nikolay Nikolov, M.D., Director of the Office of Immunology and Inflammation, described the approval as a ""meaningful step forward"" for patients with this rare and debilitating disease. Dermatomyositis is a condition in which the immune system attacks the muscles and skin, causing chronic inflammation and progressive muscle weakness. Lisraya, a once-daily oral tablet, works as a Janus kinase (JAK/TYK2) inhibitor. In a phase 3 study, participants treated with Lisraya 30 mg showed a higher average Total Improvement Score at week 52 compared to those given a placebo. The study also found improvements in physical function and skin disease activity. Common adverse reactions to Lisraya included upper respiratory tract infection, headache, and fatigue. The FDA granted Lisraya Orphan Drug and Priority Review designations.",0,1,0,0.8037183880805969,0.0091963624581694,0.1870852261781692,0.7945220256224275,0.6479464587479453,0.0252110406890352,0.326842462920934,0.6227354180589101,2,"[0.07014092803001404, 0.24374128878116608, -0.39973241090774536, -0.05199367552995682, -0.08171737194061279, 0.08790762722492218, 0.12367499619722366, -0.049013882875442505, 0.08115071058273315, 0.03039168007671833, -0.019586876034736633, 0.10203182697296143, 0.013014666736125946, -0.007859587669372559, -0.03305511921644211, 0.06398368626832962, 0.04744267463684082, -0.01567104272544384, 0.0980074480175972, -0.0076196156442165375, -0.05142838507890701, 0.10031834989786148, 0.07375163584947586, -0.15177656710147858, 0.08392022550106049, 0.05159281939268112, -0.11725809425115585, 0.04818740114569664, 0.09837304055690765, -0.014559317380189896]"
FDA,press-announcements,2026-08-27,https://www.fda.gov/news-events/press-announcements/fda-issues-emergency-use-authorization-generic-drug-prevent-new-world-screwworm-cattle,766,FDA Issues Emergency Use Authorization for Generic Drug to Prevent New World Screwworm in Cattle,"The U.S. Food and Drug Administration has issued an Emergency Use Authorization (EUA) for Bimectin (ivermectin) injection for the prevention of New World screwworm (NWS) infestations in cattle when administered within 24 hours of birth, at the time of castration, or at the appearance of a wound. The authorization reflects the FDA's commitment to expanding generic drug options against NWS and ensures producers aren't dependent on a single manufacturer or product. Bimectin injection is available over the counter and is a generic version of Ivomec, which was previously authorized for the prevention of NWS myiasis in cattle. The EUA will be effective until it is revoked or the HHS Secretary terminates the declaration justifying the emergency use authorization.",0,1,0,0.6821134686470032,0.0437598973512649,0.274126648902893,0.6383535712957382,0.0884325876832008,0.0275776907801628,0.883989691734314,0.060854896903038,1,"[-7.486343383789062e-05, -0.012462511658668518, -0.08634544909000397, -0.003158882260322571, -0.17132680118083954, 0.0034961700439453125, 0.2525123357772827, 0.210271418094635, -0.08059942722320557, -0.06264902651309967, 0.03828791528940201, -0.021166378632187843, -0.02839713543653488, -0.03389396518468857, -0.0609767809510231, 0.041851866990327835, 0.12615004181861877, 0.18583276867866516, 0.06836564093828201, -0.003688122145831585, -0.22273802757263184, -0.059222616255283356, 0.12045059353113174, 0.22886011004447937, 0.05621394142508507, 0.012866251170635223, 0.04499083757400513, 0.08164438605308533, -0.008838746696710587, -0.0365050807595253]"
FDA,press-announcements,2026-08-26,https://www.fda.gov/news-events/press-announcements/fda-approves-first-class-targeted-therapy-metastatic-pancreatic-cancer,849,FDA Approves First in Class Targeted Therapy for Metastatic Pancreatic Cancer,"The U.S. Food and Drug Administration approved Rasonque (daraxonrasib), a RAS inhibitor, for the most common form of pancreatic cancer, 6.5 months before the user fee deadline. Rasonque targets multiple forms of a protein called RAS, a key driver of tumor growth in most patients with pancreatic adenocarcinoma. The approval is for adults with metastatic pancreatic adenocarcinoma who have received at least one prior systemic therapy or are not candidates for multiagent systemic therapy. Rasonque improved median overall survival to 13.2 months compared to 6.7 months for standard chemotherapy in a randomized, open-label, multicenter clinical trial involving 500 adults. The FDA granted Breakthrough Therapy and Orphan Drug designations and Priority Review for this indication. Revolution Medicines, Inc. will manufacture and distribute the drug.",0,1,0,0.6988288760185242,0.0089011024683713,0.2922699749469757,0.6899277735501528,0.807947488782822,0.0239900748667149,0.1680624640704888,0.7839574139161071,2,"[-0.0033690333366394043, 0.2803400754928589, -0.30711615085601807, 0.01740812137722969, -0.10330836474895477, 0.11852316558361053, -0.08516784012317657, -0.1544918268918991, 0.14344100654125214, 0.004374992102384567, -0.036136873066425323, 0.1814091056585312, 0.026528067886829376, -0.18692369759082794, -0.04894011467695236, 0.0038710832595825195, 0.0798928439617157, -0.13272637128829956, 0.04638911038637161, -0.02836955152451992, -0.027080096304416656, -0.00867488607764244, -0.12263685464859009, 0.17907947301864624, -0.06120955944061279, -0.08481769263744354, 0.050339475274086, 0.03161643072962761, -0.060564156621694565, 0.025443576276302338]"
FDA,press-announcements,2026-08-25,https://www.fda.gov/news-events/press-announcements/fda-authorizes-first-wearable-device-continuously-monitors-both-ketone-levels-and-blood-sugar,754,FDA Authorizes First Wearable Device That Continuously Monitors Both Ketone Levels and Blood Sugar,"The US Food and Drug Administration (FDA) has authorized the Libre Duo 10 Day Continuous Dual Glucose Ketone Monitoring System for people aged 2 years and older living with diabetes. This wearable device continuously monitors ketone levels and glucose levels together in a single device. The FDA Director, Michelle Tarver, M.D., Ph.D., stated that this authorization is a breakthrough for the safety of children and adults living with diabetes. The device was approved based on data from six clinical studies that enrolled over 600 participants to evaluate its accuracy. The Libre Duo 10 Day was granted Breakthrough Device designation and De Novo premarket review pathway, and the FDA is establishing special controls to ensure safety and effectiveness.",0,1,0,0.2290783077478408,0.0087123233824968,0.7622093558311462,0.220365984365344,0.466490775346756,0.0105262640863657,0.5229829549789429,0.4559645112603903,1,"[0.12730857729911804, 0.21033112704753876, -0.09185293316841125, 0.0017080530524253845, -0.0028040707111358643, -0.29033857583999634, -0.24197468161582947, -0.04691065847873688, -0.21398800611495972, 0.18635964393615723, -0.06758934259414673, 0.011833591386675835, -0.22574937343597412, -0.09347884356975555, -0.15535280108451843, -0.013688571751117706, 0.08926864713430405, -0.06883680820465088, -0.17297738790512085, 0.021705057471990585, 0.04558694735169411, -0.11424985527992249, 0.025178276002407074, -0.034483328461647034, -0.03026827611029148, -0.03905138373374939, 0.10254544764757156, 0.16578927636146545, -0.07605382800102234, -0.042745985090732574]"
FDA,press-announcements,2026-08-19,https://www.fda.gov/news-events/press-announcements/fda-approves-first-therapy-patients-aged-8-years-and-older-glycogen-storage-disease-type-ia,852,FDA Approves First Therapy for Patients aged 8 years and older with Glycogen Storage Disease Type Ia,"The US Food and Drug Administration (FDA) has issued an accelerated approval for Genglycos (pariglasgene brecaparvovec-opnr) to reduce daily cornstarch intake in adults and pediatric patients 8 years of age and older with glycogen storage disease type Ia (GSDIa). This is the first approved treatment for GSDIa. The accelerated approval pathway was used due to the treatment's effect on a surrogate endpoint, with a 31% mean reduction in daily cornstarch intake in patients treated with Genglycos. The treatment aims to restore the deficient enzyme glucose-6-phosphatase to improve stable blood sugar levels. Clinical trials have shown that Genglycos has a numerical increase in the percentage of glucose values in the hypoglycemic range and a higher rate of hypertriglyceridemia. The FDA granted accelerated approval to Ultragenyx Pharmaceutical, Inc.",0,1,0,0.5074623823165894,0.0119155840948224,0.4806219637393951,0.4955467982217669,0.884390354436657,0.0273881021506217,0.0882215531921554,0.8570022522860352,2,"[0.059660136699676514, 0.2489343136548996, -0.12144433706998825, -0.014255106449127197, -0.20028725266456604, 0.056710973381996155, -0.02261584997177124, -0.10534869879484177, -0.20320451259613037, 0.11853930354118347, -0.03639041632413864, 0.022317735478281975, -0.14988747239112854, -0.05054866522550583, -0.11881043761968613, -0.04685761779546738, 0.06921559572219849, 0.01631481572985649, -0.051177144050598145, 0.05940496176481247, 0.0994967669248581, -0.12830185890197754, -0.005240969359874725, 0.0438728854060173, -0.16642555594444275, -0.046920955181121826, 0.04477241262793541, 0.22289898991584778, 0.04030396416783333, -0.012303441762924194]"
FDA,press-announcements,2026-08-19,https://www.fda.gov/news-events/press-announcements/fda-authorizes-first-its-kind-robotic-blood-draw-device,911,FDA Authorizes First-Of-Its-Kind Robotic Blood Draw Device,"The U.S. Food and Drug Administration has authorized the Aletta, a standalone robotic device, for use in drawing blood from adults in outpatient settings. The device, which can operate without human intervention, must be supervised by a trained phlebotomist. One phlebotomist can oversee up to three Aletta devices simultaneously, addressing the current phlebotomist shortage in the U.S. The FDA's Director, Michelle Tarver, M.D., Ph.D., stated that the authorization reflects the agency's commitment to innovative medical devices that meet public health needs while ensuring safety and effectiveness. The Aletta autonomously handles each step of the blood draw, with a trained phlebotomist initiating each session and responding to any issues. The device was granted marketing authorization to Vitestro through the De Novo pathway, with the FDA establishing special controls to ensure safety and effectiveness.",0,1,0,0.2189606577157974,0.0096995942294597,0.7713397145271301,0.2092610634863376,0.2243300591851328,0.013928363236834,0.7617415718324891,0.2104016959482988,2,"[0.07286816835403442, 0.02100113034248352, -0.08236110210418701, 0.07168117165565491, 0.053752556443214417, -0.34252822399139404, -0.28946831822395325, 0.17894533276557922, -0.006677348166704178, 0.05782994255423546, 0.015402719378471375, -0.0690140575170517, -0.17231521010398865, -0.14287807047367096, -0.08457111567258835, -0.05951964855194092, 0.0859534963965416, 0.06747540086507797, 0.006719522178173065, 0.06192159652709961, -0.048643238842487335, 0.043174050748348236, -0.05106573551893234, -0.004060931503772736, 0.13286323845386505, -0.07923582941293716, 0.07378675043582916, -0.1694134622812271, -0.0988452136516571, 0.05831276625394821]"
FDA,press-announcements,2026-08-18,https://www.fda.gov/news-events/press-announcements/fda-seeks-public-feedback-inform-regulatory-approach-generative-ai-enabled-medical-devices,1349,FDA Seeks Public Feedback to Inform Regulatory Approach for Generative AI-Enabled Medical Devices,"The U.S. Food and Drug Administration issued a discussion paper on the regulation of generative artificial intelligence (GenAI)-enabled medical devices, seeking feedback from interested parties on risk assessment, premarket evaluation, postmarket monitoring, and other topics. The effort aligns with the Trump Administration's priority to harness AI to accelerate the delivery of innovative medical products. Acting FDA Commissioner Kyle Diamantas said ""Artificial intelligence is transforming medicine, and the United States must lead in shaping how this technology is developed and used safely and responsibly."" The Digital Health Center of Excellence is leading the discussion paper, which supports the FDA's Public Health Pillar on Innovation and Global Leadership. The FDA Center for Devices and Radiological Health Director Michelle Tarver, M.D., Ph.D., said ""Patients and clinicians deserve a regulatory approach that keeps pace with the rapid innovation of digital health technologies."" The discussion paper proposes a two-axis framework for risk assessment and discusses premarket evaluation and postmarket monitoring approaches. The FDA encourages feedback from device manufacturers, clinicians, consumers, researchers, and the public, with a deadline for submission under the docket FDA-2026-N-7874 on Regulations.gov by October 19, 2026.",0,1,0,0.1741775125265121,0.0080721378326416,0.8177503347396851,0.1661053746938705,0.1491709202472728,0.0116928040930166,0.8391362968113727,0.1374781161542561,2,"[0.111590176820755, 0.10293480008840561, 0.13161292672157288, 0.013161815702915192, 0.16036660969257355, -0.09108877182006836, -0.4090742766857147, -0.05066778138279915, -0.09162068367004395, -0.08858217298984528, 0.09354658424854279, 0.052133895456790924, -0.02056007832288742, 0.021759547293186188, 0.007989928126335144, 0.11196967214345932, -0.025144852697849274, -0.07650552690029144, 0.09686749428510666, 0.0055284202098846436, -0.043237246572971344, -0.019170738756656647, 0.0839720144867897, -0.05063099414110184, 0.02074366621673107, -0.04654521495103836, 0.10579796880483627, -0.06997016072273254, -0.02205076813697815, 0.12113619595766068]"
FDA,press-announcements,2026-08-13,https://www.fda.gov/news-events/press-announcements/fda-issues-emergency-use-authorization-drug-treat-new-world-screwworm-dogs-and-puppies,721,FDA Issues Emergency Use Authorization for Drug to Treat New World Screwworm in Dogs and Puppies,"The U.S. Food and Drug Administration has issued an Emergency Use Authorization (EUA) for Simparica TRIO to treat New World screwworm (NWS) infestations in dogs and puppies. The EUA allows veterinarians to prescribe Simparica TRIO to dogs that have traveled to or returned from areas with NWS infestations, or live in areas with a high risk of exposure. The FDA has concluded that Simparica TRIO may be effective in treating NWS myiasis when used as authorized. The product was approved for heartworm, flea, and tick-related indications in 2020 and is available only by prescription from a licensed veterinarian. The EUA is effective until it is revoked or terminated by the HHS Secretary, and is sponsored by Zoetis Inc.",0,1,0,0.6715865135192871,0.0244844425469636,0.3039290010929107,0.6471020709723234,0.0941618159413337,0.0178978089243173,0.8879403471946716,0.0762640070170164,1,"[0.0682973861694336, 0.07070717215538025, -0.12054987996816635, -0.007961861789226532, -0.1439155489206314, 0.007294997572898865, 0.2422654628753662, 0.12551091611385345, 0.04228983819484711, -0.016596883535385132, 0.04710220545530319, -0.004191955551505089, -0.01818300038576126, 0.06356853246688843, -0.1234668418765068, 0.09574737399816513, 0.15945200622081757, 0.10946796089410782, 0.056676026433706284, -0.03606298938393593, -0.24834051728248596, 0.00037723034620285034, 0.10936816781759262, 0.10405158251523972, 0.06646203994750977, 0.015010111033916473, 0.08135225623846054, 0.08802859485149384, -0.012658998370170593, -0.0036740005016326904]"
