published_date,category,title,url,matched_keywords,body
2026-03-23,Articles,President Trump’s ‘Memphis Safe Task Force’ Delivers Crushing Blow to Crime,https://www.whitehouse.gov/articles/2026/03/president-trumps-memphis-safe-task-force-delivers-crushing-blow-to-crime/,ai,"Today, President Donald J. Trump travels to Memphis to highlight the remarkable progress in restoring safety to a city long ranked among the nation’s most dangerous . Under President Trump’s leadership, the Memphis Safe Task Force — a decisive, aggressive federal intervention involving the National Guard and a host of federal agencies — has crushed violent crime where the policies of Democrats had failed.
The results are undeniable — proof that strong leadership, tough enforcement, and zero tolerance for criminals deliver real public safety and transform communities.
These are not just minor improvements; these are lives saved, families protected, and communities reclaimed from the grip of violence. While Democrats offered excuses, President Trump offered action — and Memphis is safer today because of it.
Law-abiding citizens deserve safety. Under President Trump, they are finally getting it."
2026-03-20,Briefings & Statements,Congressional Bill S. 4138 Signed into Law,https://www.whitehouse.gov/briefings-statements/2026/03/congressional-bill-s-4138-signed-into-law/,ai,"On Friday, March 20, 2026, the President signed into law:
S. 4138, which waives the 60-day notice requirement for the posthumous honorary promotion of Captain Cody Khork, United States Army."
2026-03-20,Articles,"Democrats’ DHS Shutdown Enters 35th Day as Airports Plunge into Chaos, Frontline Workers Suffer",https://www.whitehouse.gov/articles/2026/03/democrats-dhs-shutdown-enters-35th-day-as-airports-plunge-into-chaos-frontline-workers-suffer/,"ai, cybersecurity","As Radical Left Democrats force the Department of Homeland Security shutdown into its 35th day, everyday Americans are bearing the cost. More than 100,000 DHS employees — including 50,000 TSA officers — are working without paychecks for the third time in six months, leading to skyrocketing resignations and massive callouts that have crippled airports across the country.
Americans are suffering from Democrats’ continued refusal to fund DHS:
Democrats’ damage extends well beyond airports. Critical DHS missions — including law enforcement operations, FEMA disaster response, cybersecurity protection, and other key functions — are being strained by unpaid workers, limited resources, and dangerous staffing shortfalls.
The Trump Administration and Republicans in Congress have repeatedly negotiated in good faith — yet Democrats continue to hold DHS hostage, insisting on radical, unserious demands that shield illegal aliens at the expense of American citizens and frontline workers.
Enough is enough. Radical Left Democrats — who bragged about “making people hurt” — must immediately cease their partisan games, stop weaponizing national security for political gain, and join Republicans in passing full funding for DHS."
2026-03-20,Presidential Actions,Preserving America’s Game,https://www.whitehouse.gov/presidential-actions/2026/03/preserving-americas-game/,ai,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:
Section 1 . Purpose . For over a century, the Army-Navy Game, known as “America’s Game,” has stood as a symbol of excellence and the American spirit. Now, the recent and potentially ongoing expansion of the College Football Playoffs (CFP) and other postseason college football games threatens to encroach upon the second Saturday in December — a date traditionally reserved exclusively for “America’s Game.” Such scheduling conflicts weaken the national focus on our Military Service Academies and detract from a morale-building event of vital interest to the Department of War. Accordingly, it is the policy of the United States that no college football game, specifically college football’s CFP or other postseason games, be broadcast in a manner that directly conflicts with the Army‑Navy Game.
Sec . 2 . Implementation . (a) The Secretary of Commerce and the Chairman of the Federal Communications Commission (FCC) shall coordinate with the CFP Committee, the National Collegiate Athletic Association, related organizations, other appropriate Government agencies, and the playoffs’ broadcast and media rights partners with the goal of establishing an exclusive window for the Army-Navy Game, during which no other college football game is broadcast.
(b) The Chairman of the FCC shall consider reviewing the public interest obligations of broadcast licensees to determine whether those obligations would require that the Army-Navy Game remain a national service event.
Sec . 3 . General Provisions . (a) Nothing in this order shall be construed to impair or otherwise affect:
(i) the authority granted by law to an executive department or agency, or the head thereof; or
(ii) the functions of the Director of the Office of Management and Budget relating to budgetary, administrative, or legislative proposals.
(b) This order shall be implemented consistent with applicable law and subject to the availability of appropriations.
(c) This order is not intended to, and does not, create any right or benefit, substantive or procedural, enforceable at law or in equity by any party against the United States, its departments, agencies, or entities, its officers, employees, or agents, or any other person.
(d) The costs for publication of this order shall be borne by the Department of War."
2026-03-20,Briefings & Statements,First Lady Melania Trump Announces 2026 Spring Garden Tours,https://www.whitehouse.gov/briefings-statements/2026/03/first-lady-melania-trump-announces-2026-spring-garden-tours/,ai,"This spring, the White House will open its historic gardens and grounds to visitors during the 2026 Spring Garden Tours. The grounds will be open Saturday, April 18, 2026, from 10:00 AM to 4:30 PM, and Sunday, April 19, 2026, from 10:00 AM to 2:30 PM.
Visitors will have the opportunity to explore the beauty of the South Lawn of the White House as well as the Rose Garden and the White House Kitchen Garden. Each spring, the gardens of President’s Park come into full bloom, offering vibrant color and a reflection of the natural beauty of the United States.
This event is free and open to the public. A ticket is required for all attendees, including small children. The National Park Service will distribute free, timed tickets at a tent outside the White House Visitor Center each day of the tours beginning at 8:30 AM. The White House Visitor Center is located at 1450 Pennsylvania Avenue NW, Washington, DC, 20004, near the intersection of 15th Street and E Street Northwest.
Tickets will be distributed—one ticket per person—on a first-come, first-served basis.
Please note the following items are not allowed on the White House grounds:
The Secret Service reserves the right to prohibit any other personal items. However, strollers, wheelchairs, umbrellas (no metal tips), and cameras are permitted. All items needed for medical purposes will be permitted on the tour (such as wheelchairs, electric scooters, glucose tablets, and EpiPens). Please identify and explain all items needed for medical purposes to Secret Service personnel upon arrival. In the event of inclement weather, the event may be canceled. Please call the 24-hour information line at (202) 456-7040 to check on the status of the event. For more information, including what visitors will need to access the White House campus, please visit www.WhiteHouse.gov/Visit ."
2026-03-20,Articles,President Donald J. Trump Unveils National AI Legislative Framework,https://www.whitehouse.gov/articles/2026/03/president-donald-j-trump-unveils-national-ai-legislative-framework/,"ai, technology","The Trump Administration is committed to winning the AI race to usher in a new era of human flourishing, economic competitiveness, and national security for the American people. Achieving these goals requires a commonsense national policy framework that both enables American industry to innovate and thrive and ensures that all Americans benefit from this technological revolution.
The Administration recognizes that some Americans feel uncertain about how this transformative technology will affect issues they care about, like their children’s wellbeing or their monthly electricity bill. These issues, along with other emerging AI policy considerations, require strong Federal leadership to ensure the public’s trust in how AI is developed and used in their daily lives.
Today, the Trump Administration is demonstrating that leadership by issuing a comprehensive national legislative framework that addresses the most pressing policy topics that AI presents. This framework addresses six key objectives:
Importantly, this framework can succeed only if it is applied uniformly across the United States. A patchwork of conflicting state laws would undermine American innovation and our ability to lead in the global AI race.
The Federal government is uniquely positioned to set a consistent national policy that enables us to win the AI race and deliver its benefits to the American people, while effectively addressing the policy challenges that accompany this transformative technology. The Administration looks forward to working with Congress in the coming months to turn this framework into legislation that the President can sign."
2026-03-19,Articles,Americans Agree that Operation Epic Fury Is an Overwhelming Success,https://www.whitehouse.gov/articles/2026/03/americans-agree-that-operation-epic-fury-is-an-overwhelming-success/,ai,"Under the decisive leadership of President Donald J. Trump, Operation Epic Fury is delivering overwhelming, devastating success against the world’s leading state sponsor of terrorism. In just three weeks, America’s unmatched military has obliterated the Iranian regime’s air and naval capabilities, demolished its ballistic missile arsenal and production facilities, annihilated more than 7,000 targets, and crippled its ability to fund and arm terrorist proxies.
Despite a relentless campaign by the Fake News and the Radical Left to manufacture tales of “division” to distract from this historic triumph, it is clear the American people — and President Trump’s base — stand firmly behind our warriors and their Commander-in-Chief as we accomplish the mission.
President Trump promised decisive action to end the Iranian regime’s decades of murderous aggression against Americans — and thanks to his Peace Through Strength agenda, we are not just responding, we are winning. The regime that chanted “Death to America” is now reeling — its terrorist capabilities shattered, its leadership crippled, and its power fading by the hour.
No amount of fake controversy or rooting against America’s success will dim that reality."
2026-03-19,Briefings & Statements,First Lady Melania Trump’s Fostering the Future Together Assembles Leaders from 45 Nations and 28 Tech Entities,https://www.whitehouse.gov/briefings-statements/2026/03/first-lady-melania-trumps-fostering-the-future-together-assembles-leaders-from-45-nations-and-28-tech-entities/,"ai, technology","First Lady Melania Trump’s Fostering the Future Together two-day Global Coalition Summit will assemble leaders from 45 nations and 28 best-in-class technology entities.
Fostering the Future Together is a global coalition of nations aligned to empower children through education and technology. First Lady Melania Trump shared her vision to form the new entity during the 80th United Nations General Assembly.
It is the first time in history that a U.S. First Lady is hosting representatives from 45 nations at the White House in a single day. This is unprecedented, and Fostering the Future Together’s model further supports First Lady Melania Trump’s pursuit of action-oriented diplomacy on the global stage. The inaugural meeting commences in the U.S. Department of State on March 24, 2026 and concludes at the White House on March 25, 2026.
Fostering the Future Together is a long-term initiative, with member nations spanning from multiple continents. A sampling of member nations includes The United States of America, France, Poland, Panama, Ukraine, United Arab Emirates, Lithuania, Nigeria, Paraguay, Saudi Arabia, Aruba, Morocco, Kenya, and Israel.
Participating technology companies include OpenAI, Microsoft, xAI, Meta, Palantir, Adobe, Google, and Zoom Communications."
2026-03-19,Articles,Democrats admit their DHS shutdown is “making people hurt” as they stall negotiations with dangerous demands,https://www.whitehouse.gov/articles/2026/03/democrats-admit-their-dhs-shutdown-is-making-people-hurt-as-they-stall-negotiations-with-dangerous-demands/,ai,"For over a month, Democrats have shut down the Department of Homeland Security — inflicting pain on over 100,000 American families missing paychecks and causing widespread disruption to millions of travelers across the country.
Democrats have misrepresented negotiations in the press, been unresponsive, prolonged the suffering of hardworking Americans, boasted that they are “very serene” about this dangerous shutdown and are now openly admitting they are “ making people hurt .”
The Trump Administration has negotiated in good faith from day one to fully fund DHS and avoid this dangerous shutdown, but instead of working towards a solution, Democrats have responded with a list of unserious, extreme demands that would seek to reinstitute Biden’s failed open-border agenda, protect criminal illegal aliens, and put American citizens — and the law enforcement officers who defend them — in danger.
Let’s be clear: these attempts to defund our federal law enforcement agents and border security are unacceptable to the American people.
Instead of working in good faith, Democrats continue pushing dangerous policies that would roll back this Administration’s historic progress on border security and law enforcement, putting officers, their families, and the American people in harm’s way.
THE BOTTOM LINE: Defund-the-police Democrats want to reverse the historic successes of this administration, risk our law enforcement officers’ safety, defund border security operations, and prioritize violent illegal aliens over the American people, AGAIN.
Democrats’ demands are dangerous.
As we reach day 34 of this Democrat shutdown, the solution is simple: Democrats must stop playing politics, abandon these reckless demands, and join us in fully funding the Department of Homeland Security."
2026-03-19,Briefings & Statements,Presidential Message on the Feast of Saint Joseph,https://www.whitehouse.gov/briefings-statements/2026/03/presidential-message-on-the-feast-of-saint-joseph/,ai,"Today, I send my best wishes to Catholics and other Christians celebrating the Feast of Saint Joseph—the earthly father of Jesus Christ and one of the most revered figures in the Bible.
Saint Joseph was a model father, husband, and worker, as well as a living embodiment of Christian virtue. He spent his life working tirelessly, without accolades or recognition, to protect his family and raise the Son of God. Through every trial and tribulation, Saint Joseph led his family with dignity, strength, and moral courage. In the face of uncertainty and danger, time and again, he valiantly surrendered to God’s will with faith, fortitude, humility, and obedience—playing a central role in the life of Jesus Christ and the history of salvation.
Saint Joseph also holds a distinct place in American culture, especially for the Italian-American community. Every March 19, Catholics in New Orleans, Louisiana, and throughout the Nation construct beautiful altars in his honor. From the factories of St. Louis, Missouri, and the deserts of Santa Fe, New Mexico, to churches, chapels, and homes all across our country, Catholics have credited him with extraordinary miracles. He is recognized as the head of the Holy Family, the patron saint of workers, and the “Terror of Demons,” and he remains revered by countless citizens for his tremendous example of what it means to be a man, father, and husband.
In recent years, our Nation has witnessed the rise of an extremist cultural movement that has sought to weaken the values championed by Saint Joseph. But my Administration is offering a much brighter vision for our rising generation. Instead of indoctrinating our young men with radicalism and hate, we must encourage them to embrace faith, get married, start a family, and raise the next generation of proud, freedom-loving, God-fearing American citizens. Guided by his example, we will never stop fighting for Saint Joseph’s legacy in our homes, churches, culture, and public square.
On his feast day, we honor Saint Joseph’s incredible life, we pay tribute to his countless silent sacrifices, and we vow to forge a radiant American future marked by the timeless values of faith in God, love of family, and devotion to human freedom."
